id	type	
ChIJ-f8_0B82XhMRGO3574T-GbY	establishment
ChIJ-f8_0B82XhMRGO3574T-GbY	pet_store
ChIJ-f8_0B82XhMRGO3574T-GbY	point_of_interest
ChIJ-f8_0B82XhMRGO3574T-GbY	store
ChIJ-TKYmx02XhMRhtJ7X9WTjPI	atm
ChIJ-TKYmx02XhMRhtJ7X9WTjPI	bank
ChIJ-TKYmx02XhMRhtJ7X9WTjPI	establishment
ChIJ-TKYmx02XhMRhtJ7X9WTjPI	finance
ChIJ-TKYmx02XhMRhtJ7X9WTjPI	point_of_interest
ChIJ04Xm-h02XhMRovY8-bw3Cpg	establishment
ChIJ04Xm-h02XhMRovY8-bw3Cpg	home_goods_store
ChIJ04Xm-h02XhMRovY8-bw3Cpg	point_of_interest
ChIJ04Xm-h02XhMRovY8-bw3Cpg	store
ChIJ0a4YHeBJXhMRgESyORq9JSo	doctor
ChIJ0a4YHeBJXhMRgESyORq9JSo	establishment
ChIJ0a4YHeBJXhMRgESyORq9JSo	health
ChIJ0a4YHeBJXhMRgESyORq9JSo	point_of_interest
ChIJ0RiAPOJJXhMR9e-rNN13X9o	car_repair
ChIJ0RiAPOJJXhMR9e-rNN13X9o	establishment
ChIJ0RiAPOJJXhMR9e-rNN13X9o	point_of_interest
ChIJ0RiAPOJJXhMR9e-rNN13X9o	store
ChIJ0We6ISc2XhMR0JstwP2xC6s	establishment
ChIJ0We6ISc2XhMR0JstwP2xC6s	health
ChIJ0We6ISc2XhMR0JstwP2xC6s	point_of_interest
ChIJ0We6ISc2XhMR0JstwP2xC6s	store
ChIJ0xg-_4BJXhMRADzrgzcpuh4	establishment
ChIJ0xg-_4BJXhMRADzrgzcpuh4	point_of_interest
ChIJ0xg-_4BJXhMRADzrgzcpuh4	shopping_mall
ChIJ0YP89yw3XhMRu0_gcptybS4	establishment
ChIJ0YP89yw3XhMRu0_gcptybS4	gym
ChIJ0YP89yw3XhMRu0_gcptybS4	health
ChIJ0YP89yw3XhMRu0_gcptybS4	point_of_interest
ChIJ17ejkhk2XhMRPsEejntj8Mc	establishment
ChIJ17ejkhk2XhMRPsEejntj8Mc	point_of_interest
ChIJ1f_1SOJJXhMRgrZ3x59ZKNw	cafe
ChIJ1f_1SOJJXhMRgrZ3x59ZKNw	establishment
ChIJ1f_1SOJJXhMRgrZ3x59ZKNw	food
ChIJ1f_1SOJJXhMRgrZ3x59ZKNw	point_of_interest
ChIJ1f_1SOJJXhMRgrZ3x59ZKNw	store
ChIJ24KnIg83XhMRX_b9V6y7PKE	establishment
ChIJ24KnIg83XhMRX_b9V6y7PKE	furniture_store
ChIJ24KnIg83XhMRX_b9V6y7PKE	home_goods_store
ChIJ24KnIg83XhMRX_b9V6y7PKE	point_of_interest
ChIJ24KnIg83XhMRX_b9V6y7PKE	store
ChIJ34_kIOBJXhMR7imf2tRjF3o	establishment
ChIJ34_kIOBJXhMR7imf2tRjF3o	point_of_interest
ChIJ34_kIOBJXhMR7imf2tRjF3o	store
ChIJ3WNjGMpJXhMRP2_Mlwzs7Ag	cafe
ChIJ3WNjGMpJXhMRP2_Mlwzs7Ag	establishment
ChIJ3WNjGMpJXhMRP2_Mlwzs7Ag	food
ChIJ3WNjGMpJXhMRP2_Mlwzs7Ag	point_of_interest
ChIJ4bvbRlU3XhMRizrDqc9I6fU	cafe
ChIJ4bvbRlU3XhMRizrDqc9I6fU	establishment
ChIJ4bvbRlU3XhMRizrDqc9I6fU	food
ChIJ4bvbRlU3XhMRizrDqc9I6fU	point_of_interest
ChIJ4e-5v05JXhMRDZp4UgNSSqg	cafe
ChIJ4e-5v05JXhMRDZp4UgNSSqg	establishment
ChIJ4e-5v05JXhMRDZp4UgNSSqg	food
ChIJ4e-5v05JXhMRDZp4UgNSSqg	point_of_interest
ChIJ5-bc-wc3XhMRtRMtoIpDJDw	establishment
ChIJ5-bc-wc3XhMRtRMtoIpDJDw	lodging
ChIJ5-bc-wc3XhMRtRMtoIpDJDw	point_of_interest
ChIJ53SyUV83XhMRKCtMj0KPkBI	establishment
ChIJ53SyUV83XhMRKCtMj0KPkBI	hair_care
ChIJ53SyUV83XhMRKCtMj0KPkBI	point_of_interest
ChIJ6-g47SM2XhMRoBC9mS6dkKE	bakery
ChIJ6-g47SM2XhMRoBC9mS6dkKE	establishment
ChIJ6-g47SM2XhMRoBC9mS6dkKE	food
ChIJ6-g47SM2XhMRoBC9mS6dkKE	point_of_interest
ChIJ6-g47SM2XhMRoBC9mS6dkKE	store
ChIJ71wmUS82XhMRKso4jVV3SaI	cafe
ChIJ71wmUS82XhMRKso4jVV3SaI	establishment
ChIJ71wmUS82XhMRKso4jVV3SaI	food
ChIJ71wmUS82XhMRKso4jVV3SaI	point_of_interest
ChIJ7f_lJyY2XhMRnOqNQJfMj3g	establishment
ChIJ7f_lJyY2XhMRnOqNQJfMj3g	food
ChIJ7f_lJyY2XhMRnOqNQJfMj3g	point_of_interest
ChIJ7f_lJyY2XhMRnOqNQJfMj3g	restaurant
ChIJ7SdGoCg2XhMRGcnVpa4dU0g	cafe
ChIJ7SdGoCg2XhMRGcnVpa4dU0g	establishment
ChIJ7SdGoCg2XhMRGcnVpa4dU0g	food
ChIJ7SdGoCg2XhMRGcnVpa4dU0g	point_of_interest
ChIJ7SdGoCg2XhMRGcnVpa4dU0g	restaurant
ChIJ88kULCM2XhMRXqQTjKQz9-s	establishment
ChIJ88kULCM2XhMRXqQTjKQz9-s	food
ChIJ88kULCM2XhMRXqQTjKQz9-s	point_of_interest
ChIJ88kULCM2XhMRXqQTjKQz9-s	shopping_mall
ChIJ88kULCM2XhMRXqQTjKQz9-s	store
ChIJ8e14Y_k3XhMRwkBFeA4sA44	establishment
ChIJ8e14Y_k3XhMRwkBFeA4sA44	park
ChIJ8e14Y_k3XhMRwkBFeA4sA44	point_of_interest
ChIJ8Uhwphk2XhMR0eyLMUIgSEk	atm
ChIJ8Uhwphk2XhMR0eyLMUIgSEk	bank
ChIJ8Uhwphk2XhMR0eyLMUIgSEk	establishment
ChIJ8Uhwphk2XhMR0eyLMUIgSEk	finance
ChIJ8Uhwphk2XhMR0eyLMUIgSEk	point_of_interest
ChIJ8YFRQhs3XhMRSTMUbYu6zCw	establishment
ChIJ8YFRQhs3XhMRSTMUbYu6zCw	hair_care
ChIJ8YFRQhs3XhMRSTMUbYu6zCw	pet_store
ChIJ8YFRQhs3XhMRSTMUbYu6zCw	point_of_interest
ChIJ8YFRQhs3XhMRSTMUbYu6zCw	store
ChIJ8yJ6relJXhMRo2XqEv0keZU	establishment
ChIJ8yJ6relJXhMRo2XqEv0keZU	food
ChIJ8yJ6relJXhMRo2XqEv0keZU	grocery_or_supermarket
ChIJ8yJ6relJXhMRo2XqEv0keZU	point_of_interest
ChIJ8yJ6relJXhMRo2XqEv0keZU	store
