id	name	address	coordinates_lat	coordinates_lng	rating	rating_n	current_popularity	
ChIJ-f8_0B82XhMRGO3574T-GbY	Happytails	Ionias 23, Patra	38.23720470	21.73994680	4.6000	69.0000	0
ChIJ-TKYmx02XhMRhtJ7X9WTjPI	Eurobank	Kalavriton 32, Patra	38.23566260	21.74606540	3.3000	23.0000	73
ChIJ04Xm-h02XhMRovY8-bw3Cpg	Building Cleaning - ESTIA	Fokeas 49, Patra	38.23640330	21.74417210	4.6000	25.0000	0
ChIJ0a4YHeBJXhMRgESyORq9JSo	DERMATOLOGOS GIANNAKOPOULOS Patras KOSTAS	Voulgareos 27, Patra	38.23817850	21.73845210	2.3000	9.0000	0
ChIJ0RiAPOJJXhMR9e-rNN13X9o	Moto Shop Sotirios Andreou	Dimitriou Gounari 229, Patra	38.23844090	21.74464940	4.6000	51.0000	0
ChIJ0We6ISc2XhMR0JstwP2xC6s	CHEINOPOROS PANAGIOTIS	Charilaou Trikoupi 17, Patra	38.23731180	21.73029050	5.0000	4.0000	0
ChIJ0xg-_4BJXhMRADzrgzcpuh4	ΖΕΛΕΚΤ ΑΕ	Kalavriton 2, Patra	38.23778840	21.74519850	4.4000	115.0000	0
ChIJ0YP89yw3XhMRu0_gcptybS4	GroupTime Fitness	Akti Dimeon 35, Patra	38.23380520	21.72514200	5.0000	92.0000	0
ChIJ17ejkhk2XhMRPsEejntj8Mc	Kafekouti	Kalavriton 23, Patra	38.23656680	21.74603630	4.3000	213.0000	0
ChIJ1f_1SOJJXhMRgrZ3x59ZKNw	Coffeebrands	3ou Oreivatikoy 10, Patra	38.23871010	21.74525740	4.3000	82.0000	0
ChIJ24KnIg83XhMRX_b9V6y7PKE	Chrysanthakopoulos - Idiotropo	Korinthou 451, Patra	38.23887730	21.72850790	4.5000	11.0000	37
ChIJ34_kIOBJXhMR7imf2tRjF3o	Hardwarestore.gr Χρωματοπωλείο Κωνσταντέλλος	Voulgareos 42, Patra	38.23800540	21.73935000	4.9000	8.0000	0
ChIJ3WNjGMpJXhMRP2_Mlwzs7Ag	C'est Cafe	Kalavriton 10, Patra	38.23720380	21.74537410	4.8000	29.0000	0
ChIJ4bvbRlU3XhMRizrDqc9I6fU	Flocafe	Akti Dimeon 17, Patra	38.23768270	21.72593590	4.1000	246.0000	0
ChIJ4e-5v05JXhMRDZp4UgNSSqg	Black Fox	Maizonos 30, Patra	38.24994040	21.73914030	5.0000	50.0000	0
ChIJ5-bc-wc3XhMRtRMtoIpDJDw	Paris house 1	Selefkias 11, Patra	38.22971660	21.73021910	4.0000	1.0000	0
ChIJ53SyUV83XhMRKCtMj0KPkBI	Nafsika's hair salon	Nikaias 139, Patra	38.23449580	21.74520540	5.0000	50.0000	0
ChIJ6-g47SM2XhMRoBC9mS6dkKE	Αχαϊκό Εντελβάις	Eleftheriou Venizelou 69, Patra	38.23296200	21.73250200	4.4000	209.0000	0
ChIJ71wmUS82XhMRKso4jVV3SaI	Coffeebox Str	Akti Dimeon 27, Patra	38.23497550	21.72532380	4.3000	124.0000	0
ChIJ7f_lJyY2XhMRnOqNQJfMj3g	Goody's Burger House	Akti Dimeon 17, Patra	38.23797670	21.72599160	4.2000	546.0000	23
ChIJ7SdGoCg2XhMRGcnVpa4dU0g	Petite Boutique	Akti Dimeon 18, Patra	38.23679100	21.72591390	4.4000	413.0000	0
ChIJ88kULCM2XhMRXqQTjKQz9-s	La Taste Ζαχαροπλαστείο	Agiou Ioanni Pratsika 71, Patra	38.22906110	21.73435070	4.6000	103.0000	0
ChIJ8e14Y_k3XhMRwkBFeA4sA44	Πλατεία Ελευθερίας (Μικράς Ασίας)	Patras	38.23580260	21.74194030	3.7000	125.0000	21
ChIJ8Uhwphk2XhMR0eyLMUIgSEk	Piraeus Bank	Γ. Παπανδρέου, & Ιωνίας 104, Patra	38.22964950	21.74127410	2.3000	23.0000	62
ChIJ8YFRQhs3XhMRSTMUbYu6zCw	Pet Beauty G.S.	Βορείου Ηπείρου 170 και, Maizonos, Patra	38.23346750	21.72679020	4.2000	34.0000	0
ChIJ8yJ6relJXhMRo2XqEv0keZU	SUPERMARKET "3A ARAPIS"	Maizonos 22-24, Patra	38.25060850	21.73989560	4.2000	232.0000	29
ChIJa4Go5yc2XhMR-30hKzhbx_c	My market	12, Akti Dimeon 14, Patra	38.23926730	21.72626530	4.5000	504.0000	57
ChIJA8EOiMk3XhMRfLK_6kRsJS4	ΕΙΔΙΚΗ ΘΕΡΑΠΕΥΤΙΚΗ ΠΑΡΕΜΒΑΣΗ - Λογοθεραπεία, Λογοθεραπευτές Πάτρα - Σακκογιάννη Ράνια	Kalavriton 24-26, Patra	38.23630180	21.74585760	5.0000	10.0000	0
ChIJA8XmnCc2XhMRoA2h45hqTg4	ComTech Systems Pc-Δίκτυα-Software-Service	Korinthou 358, Patra	38.23934340	21.72834890	4.9000	30.0000	0
ChIJaczbf8JJXhMR9QcBFbdskRA	B.M.G. RENTACAR	Andrea Papandreou 1, Patra	38.25064700	21.73728400	1.0000	1.0000	0
ChIJaeHBPuBJXhMRuNbzVocLWWA	Kokkonis Bros O.E.	Mpoukaouri 158, Patra	38.23813170	21.73956290	4.7000	198.0000	59
ChIJaSelXrpJXhMRn8muKjS7tz8	Γιαννης Χριστοπουλος ΚΡΕΟΠΩΛΕΙΟ	Dimitriou Gounari 212, Patra	38.23877550	21.74367220	5.0000	3.0000	0
ChIJaVrgkCU2XhMRvIk-RC18hoM	Αρτο...Ποίηση	Maizonos 348, Patra	38.23334670	21.72667020	4.7000	65.0000	0
ChIJAVs4m443XhMRBbxmCCI6f5Y	εν σωματι	Ελευθερίου Βενιζέλου 59 &, Delvinou, Patra	38.23269750	21.73079160	4.8000	6.0000	0
ChIJB0BpiiM2XhMR0j9vb-iKkoc	Play Opap Ε. Βενιζέλου 65	Eleftheriou Venizelou 65, Patra	38.23284700	21.73173120	4.0000	39.0000	0
